"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005875","GO:0005875","microtubule associated complex","2/143","148/18511",0.317196749187255,0.63439349837451,0.580572211788142,"KIF5A/DNAH9",2
"GO:0030286","GO:0030286","dynein complex","1/143","50/18511",0.321772581173287,0.638778161144007,0.584584884314822,"DNAH9",1
"GO:0030669","GO:0030669","clathrin-coated endocytic vesicle membrane","1/143","51/18511",0.327026170951317,0.640576585597674,0.586230732302664,"AP1G1",1
"GO:0005876","GO:0005876","spindle microtubule","1/143","52/18511",0.332239348500286,0.640576585597674,0.586230732302664,"CDC27",1
"GO:0032154","GO:0032154","cleavage furrow","1/143","52/18511",0.332239348500286,0.640576585597674,0.586230732302664,"MYH9",1
"GO:0097610","GO:0097610","cell surface furrow","1/143","52/18511",0.332239348500286,0.640576585597674,0.586230732302664,"MYH9",1
"GO:0044798","GO:0044798","nuclear transcription factor complex","2/143","156/18511",0.339810954304591,0.650495255383074,0.595307912428343,"PBX1/TP53",2
"GO:0005871","GO:0005871","kinesin complex","1/143","55/18511",0.347639482992127,0.651520149943287,0.596245855996802,"KIF5A",1
"GO:0031594","GO:0031594","neuromuscular junction","1/143","55/18511",0.347639482992127,0.651520149943287,0.596245855996802,"MYH9",1
"GO:0035869","GO:0035869","ciliary transition zone","1/143","55/18511",0.347639482992127,0.651520149943287,0.596245855996802,"MYO7A",1
"GO:0001726","GO:0001726","ruffle","2/143","162/18511",0.356623790957898,0.663716499838311,0.607407480213379,"CYTH3/MYH9",2
"GO:0005874","GO:0005874","microtubule","4/143","393/18511",0.360918587856825,0.665754000299249,0.609272121247938,"JAKMIP1/KIF5A/DNAH9/CDC27",4
"GO:0005637","GO:0005637","nuclear inner membrane","1/143","58/18511",0.362686880760039,0.665754000299249,0.609272121247938,"ANKLE1",1
"GO:0030864","GO:0030864","cortical actin cytoskeleton","1/143","59/18511",0.367625686160316,0.669803997155305,0.612978520570252,"MYH9",1
"GO:0000118","GO:0000118","histone deacetylase complex","1/143","60/18511",0.372526484278627,0.669803997155305,0.612978520570252,"SALL2",1
"GO:0032153","GO:0032153","cell division site","1/143","61/18511",0.377389565561385,0.669803997155305,0.612978520570252,"MYH9",1
"GO:0032155","GO:0032155","cell division site part","1/143","61/18511",0.377389565561385,0.669803997155305,0.612978520570252,"MYH9",1
"GO:0101003","GO:0101003","ficolin-1-rich granule membrane","1/143","61/18511",0.377389565561385,0.669803997155305,0.612978520570252,"SIRPA",1
"GO:0034704","GO:0034704","calcium channel complex","1/143","63/18511",0.387003728402846,0.682348679026071,0.624458924638942,"CACNA1G",1
"GO:0001533","GO:0001533","cornified envelope","1/143","64/18511",0.391755379901024,0.686212037996566,0.627994520240376,"EVPL",1
"GO:0032838","GO:0032838","cell projection cytoplasm","1/143","65/18511",0.396470454475435,0.686476319301261,0.62823638019322,"KIF5A",1
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","2/143","177/18511",0.39794291467514,0.686476319301261,0.62823638019322,"ZYG11B/CDC27",2
"GO:0055038","GO:0055038","recycling endosome membrane","1/143","67/18511",0.405791989097129,0.686476319301261,0.62823638019322,"EHD2",1
"GO:0005657","GO:0005657","replication fork","1/143","68/18511",0.41039900197715,0.686476319301261,0.62823638019322,"TP53",1
"GO:0018995","GO:0018995","host","1/143","68/18511",0.41039900197715,0.686476319301261,0.62823638019322,"SCO1",1
"GO:0043657","GO:0043657","host cell","1/143","68/18511",0.41039900197715,0.686476319301261,0.62823638019322,"SCO1",1
"GO:0005681","GO:0005681","spliceosomal complex","2/143","184/18511",0.416812972751653,0.686476319301261,0.62823638019322,"WBP4/GPATCH1",2
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","2/143","185/18511",0.419484920420207,0.686476319301261,0.62823638019322,"DDX4/CNOT2",2
