,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
hsa04740,hsa04740,Olfactory transduction,388/5077,419/7276,7.21438302360737e-32,2.21481558824746e-29,1.95168046007063e-29,OR1J1/OR1J2/OR1J4/OR1N1/OR1B1/OR1L1/OR1L3/OR1L8/OR1N2/OR1Q1/OR1L4/OR1K1/OR1L6/OR5C1/PDE2A/OR2AT4/ARRB1/OR4F15/OR4F6/OR5AC2/OR5H1/OR5H14/OR5H15/OR5H6/OR5H2/OR5K1/OR5K2/OR5K3/OR5K4/OR4F17/GNG7/OR11G2/OR11H4/OR11H6/OR4K1/OR4K13/OR4K14/OR4K15/OR4K17/OR4K2/OR4K5/OR4L1/OR4M1/OR4N2/OR4N5/OR4Q3/OR6S1/OR5AU1/OR10G2/OR10G3/OR4E2/OR4E1/OR4F16/OR4F29/OR4F3/OR4F5/GNB1/CALML6/OR52B4/OR52K1/OR52K2/OR52M1/OR52I2/OR51D1/OR51E1/OR52I1/OR51E2/OR51F1/OR52R1/OR51F2/OR51S1/OR51A2/OR51A4/OR51A7/OR51G1/OR51G2/OR51T1/OR51L1/OR52J3/OR52E2/OR52A5/OR51V1/OR52A1/OR51B2/OR51B4/OR51B5/OR51B6/OR51I1/OR51I2/OR51M1/OR51Q1/OR52D1/OR52B6/OR52H1/OR56B1/OR52N1/OR52N4/OR52N5/OR52E4/OR52E6/OR52E8/OR52N2/OR56A3/OR56A5/OR52L1/OR56A1/OR56A4/OR52B2/OR56B4/CNGA4/OR52W1/OR2AG2/OR2AG1/OR6A2/OR10A5/OR10A2/OR10A4/OR2D2/OR2D3/OR5P2/OR5P3/OR10A3/OR10A6/OR2Z1/OR1M1/OR7G1/OR7G2/OR7G3/OR7D2/OR7D4/OR7E24/OR7C1/OR7A10/OR7A17/OR7A5/OR1I1/OR7C2/OR10H1/OR10H2/OR10H3/OR10H5/OR10H4/OR2AE1/OR9A4/OR6V1/OR9A2/OR11H12/OR10AD1/OR8S1/RGS2/OR10AG1/OR5F1/OR5I1/OR5W2/OR4A15/OR4A16/OR4C15/OR4C11/OR4C16/OR4P4/OR4S2/OR4C6/OR5D13/OR5D14/OR5D16/OR5D18/OR5L1/OR5L2/OR5AS1/OR8I2/OR8H2/OR8H3/OR8J3/OR8K5/OR5J2/OR5T2/OR5T3/OR5T1/OR8H1/OR8J1/OR8K1/OR8K3/OR8U1/OR8U8/OR5R1/OR5M10/OR5M11/OR5M3/OR5M8/OR5M9/OR5M1/OR5AP2/OR5AR1/OR9G1/OR9G4/OR9G9/OR5AK2/OR9Q1/OR6Q1/OR9I1/OR1S1/OR1S2/OR9Q2/OR10Q1/OR10W1/OR5B17/OR5B2/OR5B3/OR5B12/OR5B21/OR5AN1/OR5A2/OR4D6/OR5A1/OR4D10/OR4D11/OR10V1/OR4D9/OR2B2/OR2B6/OR2W1/OR2B3/OR2J2/OR2J3/OR14J1/OR5V1/OR10C1/OR11A1/OR12D2/OR12D3/OR2H1/OR2H2/ANO2/OR4B1/OR4X2/OR4C3/OR4C45/OR4S1/OR4X1/OR4A47/ADCY3/CAMK2G/OR10G7/OR8B2/OR8B3/OR8B4/OR8B8/OR8D1/OR8D2/OR8G1/OR8G5/OR8B12/OR8A1/CALML4/SLC8A1/CALM2/PRKACB/PDE1A/CAMK2D/PRKG1/OR1D2/OR1D5/OR1G1/OR1A1/OR1A2/OR3A1/OR3A2/OR1E1/OR1E2/OR3A3/ARRB2/OR2K2/PRKG2/CALML5/CALML3/SLC24A4/PDE1B/OR9K2/OR10A7/OR6C74/OR6C1/OR6C3/OR6C6/OR6C65/OR6C75/OR6C76/OR2AP1/OR6C2/OR6C4/OR6C68/OR6C70/OR10P1/OR10K1/OR10K2/OR10R2/OR10T2/OR6Y1/OR10X1/OR10Z1/OR6P1/OR6K2/OR6K3/OR6K6/OR6N1/OR6N2/OR10J3/OR10J1/OR10J5/NCALD/OR13A1/OR13J1/OR2S2/SLC8A3/CAMK2B/OR4D1/OR4D2/OR11H1/OR4C12/OR4C13/OR4A5/OR2Y1/OR2V1/OR2V2/CAMK2A/OR13F1/OR13C2/OR13C3/OR13C4/OR13C5/OR13C8/OR13C9/OR13D1/GUCY2D/PDE1C/OR2B11/OR2C3/OR2G2/OR13G1/OR14A16/OR1C1/OR2G3/OR6F1/OR11L1/OR2AK2/OR2L8/OR2T8/OR2W3/OR14C36/OR2L13/OR2L2/OR2L3/OR2L5/OR2M2/OR2M3/OR2M4/OR2M5/OR2M7/OR2T12/OR2T33/OR2T4/OR2T6/OR2T1/OR2T2/OR14I1/OR2G6/OR2T10/OR2T11/OR2T27/OR2T29/OR2T3/OR2T34/OR2T5/OR10G4/OR10G8/OR10G9/OR10S1/OR6X1/OR6M1/OR8D4/OR4D5/OR6T1/CNGA3/OR2A4/PRKACG/CALM1/OR4C46/OR4M2/OR4N4,388
hsa00830,hsa00830,Retinol metabolism,60/5077,65/7276,9.94849631462314e-06,0.00147720058173822,0.00130169912397299,RETSAT/DHRS4/RDH8/CYP3A5/CYP3A4/CYP3A7/CYP3A7-CYP3A51P/AOX1/UGT1A1/UGT1A10/UGT1A3/UGT1A4/UGT1A5/UGT1A6/UGT1A7/UGT1A8/UGT1A9/CYP4A11/CYP26B1/DHRS3/UGT2A1/UGT2A2/UGT2B4/UGT2B17/UGT2B15/UGT2B10/UGT2A3/UGT2B7/UGT2B11/UGT2B28/ADH5/ADH4/ADH6/ADH1A/ADH1B/ADH1C/ADH7/CYP26C1/CYP26A1/CYP2C18/CYP2C8/CYP2C9/CYP2A6/CYP2B6/CYP2S1/RDH5/HSD17B6/RDH16/ALDH1A2/CYP1A1/CYP1A2/SDR16C5/RPE65/DGAT1/RDH11/RDH12/DHRS9/BCO1/LRAT/RDH10,60
hsa00140,hsa00140,Steroid hormone biosynthesis,54/5077,58/7276,1.44351848378327e-05,0.00147720058173822,0.00130169912397299,HSD17B1/CYP3A5/CYP3A4/CYP3A7/CYP3A7-CYP3A51P/CYP21A2/UGT1A1/UGT1A10/UGT1A3/UGT1A4/UGT1A5/UGT1A6/UGT1A7/UGT1A8/UGT1A9/HSD17B8/HSD17B12/UGT2A1/UGT2A2/UGT2B4/UGT2B17/UGT2B15/UGT2B10/UGT2A3/UGT2B7/UGT2B11/UGT2B28/SULT1E1/HSD11B2/CYP19A1/CYP17A1/HSD3B2/HSD3B1/AKR1C1/AKR1C2/AKR1C3/AKR1C4/HSD17B6/HSD17B7/SRD5A3/CYP11A1/CYP1A1/CYP1A2/CYP7B1/CYP7A1/COMT/HSD17B2/CYP11B1/CYP11B2/SRD5A1/AKR1D1/SRD5A2/HSD11B1/CYP1B1,54
hsa05322,hsa05322,Systemic lupus erythematosus,112/5077,133/7276,8.49512930318097e-05,0.00652001174019139,0.00574539008136186,H2AFX/C5/ELANE/C3/TRIM21/CD80/CD86/TNF/C2/C4A/C4B/TROVE2/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-DQA2/HLA-DOB/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/CD28/HIST1H2AG/HIST1H2AH/HIST1H2BJ/HIST1H2BK/HIST1H4I/HIST1H2AI/HIST1H2AJ/HIST1H2AK/HIST1H2AL/HIST1H2BL/HIST1H2BM/HIST1H2BN/HIST1H3H/HIST1H3I/HIST1H4J/HIST1H4K/HIST1H4L/HIST1H2AM/HIST1H2BO/HIST1H3J/HIST1H2AA/HIST1H2BA/HIST1H2AB/HIST1H2BB/HIST1H3A/HIST1H3B/HIST1H3C/HIST1H4A/HIST1H4B/HIST1H4C/HIST1H2AC/HIST1H2AD/HIST1H2AE/HIST1H2BC/HIST1H2BD/HIST1H2BE/HIST1H2BF/HIST1H2BG/HIST1H2BH/HIST1H2BI/HIST1H3D/HIST1H3E/HIST1H3F/HIST1H3G/HIST1H4D/HIST1H4E/HIST1H4F/HIST1H4G/HIST1H4H/C1R/C1S/H2AFY2/SNRPD1/IL10/C9/C7/C6/H2AFZ/H2AFJ/HIST4H4/GRIN2B/ACTN4/FCGR1A/HIST2H2AA3/HIST2H2AA4/HIST2H2AB/HIST2H2AC/HIST2H2BE/HIST2H2BF/HIST2H3A/HIST2H3C/HIST2H3D/HIST2H4A/HIST2H4B/CTSG/FCGR2A/FCGR3A/FCGR3B/H2AFV/C8G/IFNG/C8A/C8B/ACTN1/SSB/H3F3A/GRIN2A,112
hsa05323,hsa05323,Rheumatoid arthritis,78/5077,90/7276,0.000142938945044291,0.00877645122571944,0.00773374923713319,ATP6V1A/ITGB2/ATP6V1G3/IL11/ATP6V1B1/ICAM1/ACP5/ATP6V0A1/ATP6V0A4/CD80/CD86/CCL20/ATP6V1F/ATP6V1G2/LTB/TNF/CTSK/HLA-DQA1/HLA-DQB1/HLA-DRA/HLA-DRB1/HLA-DRB5/HLA-DQA2/HLA-DOB/HLA-DMA/HLA-DMB/HLA-DOA/HLA-DPA1/HLA-DPB1/CD28/CTLA4/ATP6V0B/CSF1/CCL2/CCL5/CCL3/CCL3L1/CCL3L3/CXCL8/CXCL6/CXCL1/CXCL5/ATP6V1E2/TEK/IL6/ATP6V0D2/ANGPT1/ATP6V0D1/TLR2/IL17A/TGFB1/ATP6V0A2/ATP6V1G1/VEGFA/FOS/TGFB3/ATP6V1B2/ATP6V1C1/CXCL12/MMP1/MMP3/TLR4/ATP6V1H/IL15/ATP6V1E1/IL1A/IL1B/JUN/IFNG/TNFSF13/ATP6V1D/IL18/TGFB2/IL23A/TNFRSF11A/CTSL/FLT1/TNFSF11,78
