"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098791","GO:0098791","Golgi subcompartment","3/96","291/18122",0.200375684828179,0.418108434345486,0.359626341235109,"BIRC6/PI4K2B/AP1G1",3
"GO:0099568","GO:0099568","cytoplasmic region","3/96","292/18122",0.201733252369028,0.418108434345486,0.359626341235109,"ASPH/MYO7A/MYH9",3
"GO:0030119","GO:0030119","AP-type membrane coat adaptor complex","1/96","43/18122",0.204401568428391,0.420249624688773,0.361468036799681,"AP1G1",1
"GO:0045171","GO:0045171","intercellular bridge","1/96","44/18122",0.208626218543491,0.425531255283151,0.366010909725422,"EHD2",1
"GO:0031519","GO:0031519","PcG protein complex","1/96","45/18122",0.212828668096529,0.426437495803533,0.366790391639328,"ASXL1",1
"GO:0097542","GO:0097542","ciliary tip","1/96","45/18122",0.212828668096529,0.426437495803533,0.366790391639328,"WDR35",1
"GO:0005819","GO:0005819","spindle","3/96","301/18122",0.214048392835236,0.426437495803533,0.366790391639328,"BIRC6/CRMP1/MYH9",3
"GO:0000790","GO:0000790","nuclear chromatin","3/96","305/18122",0.21957439927083,0.433893348548827,0.373203371678287,"ARID1A/TP53/ASXL1",3
"GO:0030286","GO:0030286","dynein complex","1/96","47/18122",0.221167426692204,0.433893348548827,0.373203371678287,"DNAH9",1
"GO:0030118","GO:0030118","clathrin coat","1/96","48/18122",0.225303964840893,0.438659992152344,0.377303290403409,"AP1G1",1
"GO:0032154","GO:0032154","cleavage furrow","1/96","49/18122",0.229418760645655,0.440004637954726,0.378459856524647,"MYH9",1
"GO:0097610","GO:0097610","cell surface furrow","1/96","49/18122",0.229418760645655,0.440004637954726,0.378459856524647,"MYH9",1
"GO:0030669","GO:0030669","clathrin-coated endocytic vesicle membrane","1/96","50/18122",0.233511927191221,0.444537520652918,0.382358711190304,"AP1G1",1
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","2/96","181/18122",0.248971085809519,0.470482125390048,0.404674365479869,"DDX4/CNOT2",2
"GO:0030864","GO:0030864","cortical actin cytoskeleton","1/96","55/18122",0.253657238426127,0.472390654170396,0.406315942559013,"MYH9",1
"GO:0031594","GO:0031594","neuromuscular junction","1/96","55/18122",0.253657238426127,0.472390654170396,0.406315942559013,"MYH9",1
"GO:0030017","GO:0030017","sarcomere","2/96","187/18122",0.260748638871754,0.477142939358163,0.410403511223487,"OBSCN/IGFN1",2
"GO:0035869","GO:0035869","ciliary transition zone","1/96","57/18122",0.261567851405403,0.477142939358163,0.410403511223487,"MYO7A",1
"GO:0005637","GO:0005637","nuclear inner membrane","1/96","58/18122",0.265491985712908,0.477142939358163,0.410403511223487,"ANKLE1",1
"GO:0032153","GO:0032153","cell division site","1/96","58/18122",0.265491985712908,0.477142939358163,0.410403511223487,"MYH9",1
"GO:0032155","GO:0032155","cell division site part","1/96","58/18122",0.265491985712908,0.477142939358163,0.410403511223487,"MYH9",1
"GO:0035770","GO:0035770","ribonucleoprotein granule","2/96","192/18122",0.270569608954028,0.481044942332529,0.413759729223146,"DDX4/CNOT2",2
"GO:0034704","GO:0034704","calcium channel complex","1/96","60/18122",0.273278449729764,0.481044942332529,0.413759729223146,"CACNA1G",1
"GO:0055038","GO:0055038","recycling endosome membrane","1/96","60/18122",0.273278449729764,0.481044942332529,0.413759729223146,"EHD2",1
"GO:0005882","GO:0005882","intermediate filament","2/96","195/18122",0.276461822148762,0.481251590376447,0.41393747277925,"KRTAP5-5/KRTAP9-8",2
"GO:0000118","GO:0000118","histone deacetylase complex","1/96","61/18122",0.277140993679822,0.481251590376447,0.41393747277925,"SALL2",1
"GO:0001533","GO:0001533","cornified envelope","1/96","63/18122",0.284805236934509,0.491241247598448,0.42252984638818,"EVPL",1
"GO:0016323","GO:0016323","basolateral plasma membrane","2/96","202/18122",0.290199963756873,0.497209271236775,0.427663104483812,"OTOF/MLC1",2
"GO:0005657","GO:0005657","replication fork","1/96","65/18122",0.292389056250826,0.497296114099712,0.427737800372474,"TP53",1
"GO:0044449","GO:0044449","contractile fiber part","2/96","204/18122",0.294120658922787,0.497296114099712,0.427737800372474,"OBSCN/IGFN1",2
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","1/96","66/18122",0.29615106824617,0.497456369537684,0.427875640396943,"AP1G1",1
"GO:0015935","GO:0015935","small ribosomal subunit","1/96","70/18122",0.311002209251153,0.519010180373678,0.446414654427493,"MRPS36",1
"GO:0030684","GO:0030684","preribosome","1/96","71/18122",0.314666279044633,0.521736991706262,0.448760058399816,"HEATR1",1
"GO:0036126","GO:0036126","sperm flagellum","1/96","73/18122",0.321936668526843,0.526991871410182,0.453279922163171,"ODF4",1
"GO:0097729","GO:0097729","9+2 motile cilium","1/96","73/18122",0.321936668526843,0.526991871410182,0.453279922163171,"ODF4",1
"GO:0030672","GO:0030672","synaptic vesicle membrane","1/96","75/18122",0.329130724776899,0.531991171494735,0.457579955002639,"OTOF",1
"GO:0099501","GO:0099501","exocytic vesicle membrane","1/96","75/18122",0.329130724776899,0.531991171494735,0.457579955002639,"OTOF",1
"GO:0001750","GO:0001750","photoreceptor outer segment","1/96","78/18122",0.339780416992115,0.545772294793585,0.46943347084437,"MYO7A",1
"GO:0005902","GO:0005902","microvillus","1/96","79/18122",0.343293001783113,0.547989450051304,0.471340505880704,"MYO7A",1
"GO:0030863","GO:0030863","cortical cytoskeleton","1/96","80/18122",0.346787092113369,0.548887412045369,0.472112867210843,"MYH9",1
"GO:0032588","GO:0032588","trans-Golgi network membrane","1/96","81/18122",0.350262784340235,0.548887412045369,0.472112867210843,"AP1G1",1
"GO:0060170","GO:0060170","ciliary membrane","1/96","81/18122",0.350262784340235,0.548887412045369,0.472112867210843,"TAS2R43",1
"GO:0000313","GO:0000313","organellar ribosome","1/96","83/18122",0.357159357432154,0.552951535301587,0.475608529237491,"MRPS36",1
"GO:0005761","GO:0005761","mitochondrial ribosome","1/96","83/18122",0.357159357432154,0.552951535301587,0.475608529237491,"MRPS36",1
"GO:0005913","GO:0005913","cell-cell adherens junction","1/96","85/18122",0.363983482028879,0.560142244798933,0.481793452417677,"MYH9",1
"GO:0030117","GO:0030117","membrane coat","1/96","91/18122",0.384028657626591,0.583996242662923,0.502310919349637,"AP1G1",1
"GO:0048475","GO:0048475","coated membrane","1/96","91/18122",0.384028657626591,0.583996242662923,0.502310919349637,"AP1G1",1
"GO:0005604","GO:0005604","basement membrane","1/96","93/18122",0.39057044260119,0.590450610285329,0.507862495023219,"THBS4",1
"GO:0016605","GO:0016605","PML body","1/96","97/18122",0.403448449351421,0.59934249412321,0.515510644136285,"TP53",1
"GO:0071013","GO:0071013","catalytic step 2 spliceosome","1/96","97/18122",0.403448449351421,0.59934249412321,0.515510644136285,"GPATCH1",1
"GO:1990204","GO:1990204","oxidoreductase complex","1/96","97/18122",0.403448449351421,0.59934249412321,0.515510644136285,"MRPS36",1
"GO:0005903","GO:0005903","brush border","1/96","98/18122",0.406625644850022,0.599564860657632,0.515701907590017,"MYH9",1
"GO:0036064","GO:0036064","ciliary basal body","1/96","100/18122",0.412929884577435,0.599564860657632,0.515701907590017,"WDR35",1
"GO:0097731","GO:0097731","9+0 non-motile cilium","1/96","100/18122",0.412929884577435,0.599564860657632,0.515701907590017,"MYO7A",1
"GO:0097733","GO:0097733","photoreceptor cell cilium","1/96","100/18122",0.412929884577435,0.599564860657632,0.515701907590017,"MYO7A",1
"GO:0015629","GO:0015629","actin cytoskeleton","3/96","445/18122",0.420510229988256,0.607141174758325,0.522218499689733,"MICALL2/MYO7A/MYH9",3
"GO:0000932","GO:0000932","P-body","1/96","104/18122",0.425340188768742,0.607291269519816,0.522347600242315,"CNOT2",1
"GO:0016591","GO:0016591","DNA-directed RNA polymerase II, holoenzyme","1/96","104/18122",0.425340188768742,0.607291269519816,0.522347600242315,"TP53",1
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane","1/96","106/18122",0.431447625638055,0.609241976862529,0.524025456240553,"AP1G1",1
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","1/96","106/18122",0.431447625638055,0.609241976862529,0.524025456240553,"CYTH3",1
"GO:0016324","GO:0016324","apical plasma membrane","2/96","283/18122",0.443645650225195,0.623043344851776,0.535896385086516,"MYO7A/MLC1",2
"GO:0045121","GO:0045121","membrane raft","2/96","285/18122",0.447227015850992,0.623763955673904,0.536516201890313,"EHD2/MLC1",2
"GO:0098857","GO:0098857","membrane microdomain","2/96","286/18122",0.449012964201059,0.623763955673904,0.536516201890313,"EHD2/MLC1",2
"GO:0000785","GO:0000785","chromatin","3/96","472/18122",0.458304759115576,0.630286634541075,0.542126533907949,"ARID1A/TP53/ASXL1",3
