"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005759","GO:0005759","mitochondrial matrix","2/96","434/18122",0.67335293005212,0.745912513031874,0.641579470557827,"MRPS36/TP53",2
"GO:0044440","GO:0044440","endosomal part","2/96","455/18122",0.698479981189036,0.770426417019667,0.662664540545279,"VPS50/EHD2",2
"GO:0098552","GO:0098552","side of membrane","2/96","462/18122",0.706497577103091,0.773915617341129,0.665665695849425,"CYTH3/LILRB1",2
"GO:0005840","GO:0005840","ribosome","1/96","231/18122",0.709116546121278,0.773915617341129,0.665665695849425,"MRPS36",1
"GO:0098797","GO:0098797","plasma membrane protein complex","1/96","232/18122",0.710677376235433,0.773915617341129,0.665665695849425,"MYH9",1
"GO:0061695","GO:0061695","transferase complex, transferring phosphorus-containing groups","1/96","254/18122",0.742993846867022,0.805693749556222,0.692998924459581,"TP53",1
"GO:0009897","GO:0009897","external side of plasma membrane","1/96","258/18122",0.748473251695778,0.807742871240868,0.694761429287661,"LILRB1",1
"GO:0030135","GO:0030135","coated vesicle","1/96","260/18122",0.751169440570302,0.807742871240868,0.694761429287661,"AP1G1",1
"GO:0030139","GO:0030139","endocytic vesicle","1/96","273/18122",0.768010724277257,0.822411483913563,0.707378298676421,"AP1G1",1
"GO:0034702","GO:0034702","ion channel complex","1/96","282/18122",0.779004239401885,0.830722363179604,0.714526710086901,"CACNA1G",1
"GO:0000151","GO:0000151","ubiquitin ligase complex","1/96","290/18122",0.788342489393505,0.837206693281533,0.720104057297243,"ZYG11B",1
"GO:0031253","GO:0031253","cell projection membrane","1/96","299/18122",0.798381881136535,0.842062455441898,0.724280629296738,"TAS2R43",1
"GO:0031965","GO:0031965","nuclear membrane","1/96","300/18122",0.799467856528495,0.842062455441898,0.724280629296738,"ANKLE1",1
"GO:0005769","GO:0005769","early endosome","1/96","310/18122",0.810014213363729,0.849688378916238,0.730839891756748,"MLC1",1
"GO:1902495","GO:1902495","transmembrane transporter complex","1/96","318/18122",0.81805451116145,0.854634184424766,0.735093912468568,"CACNA1G",1
"GO:1990351","GO:1990351","transporter complex","1/96","325/18122",0.824812946480081,0.858206183179679,0.738166284938491,"CACNA1G",1
"GO:0098793","GO:0098793","presynapse","1/96","343/18122",0.841072235162453,0.871595017890122,0.749682382784869,"OTOF",1
"GO:0016607","GO:0016607","nuclear speck","1/96","364/18122",0.858161914134521,0.884542564186664,0.760818916564405,"DGKQ",1
"GO:0030133","GO:0030133","transport vesicle","1/96","367/18122",0.860449965162124,0.884542564186664,0.760818916564405,"OTOF",1
"GO:0005925","GO:0005925","focal adhesion","1/96","390/18122",0.876819725849319,0.89600140596182,0.770674975433063,"MYH9",1
"GO:0005924","GO:0005924","cell-substrate adherens junction","1/96","393/18122",0.878809697668006,0.89600140596182,0.770674975433063,"MYH9",1
"GO:0030055","GO:0030055","cell-substrate junction","1/96","398/18122",0.882055858787317,0.89600140596182,0.770674975433063,"MYH9",1
"GO:0010008","GO:0010008","endosome membrane","1/96","421/18122",0.895913958030762,0.906495618952385,0.77970133106697,"EHD2",1
"GO:0005635","GO:0005635","nuclear envelope","1/96","436/18122",0.904070573426261,0.911161323021761,0.783714428976326,"ANKLE1",1
"GO:0030425","GO:0030425","dendrite","1/96","462/18122",0.916737405588381,0.920318411078961,0.791590687391283,"ATXN1L",1
"GO:0005912","GO:0005912","adherens junction","1/96","490/18122",0.928531363698704,0.928531363698704,0.79865486945209,"MYH9",1
